country,dystopia_residual,economy,family,freedom,generosity,rank,score,health,lower_confidence,lower_whisker,region,standard_error,trust,upper_confidence,upper_whisker,year
El Salvador,3.035,0.76454,1.02507,0.4035,0.10692,42,6.13,0.67737,NULL,NULL,Latin America and Caribbean,0.05618,0.11776,NULL,NULL,2015
Guatemala,2.74255,0.74553,1.04356,0.57733,0.27489,43,6.123,0.64425,NULL,NULL,Latin America and Caribbean,0.05224,0.09472,NULL,NULL,2015
Uzbekistan,2.23741,0.63244,1.34043,0.65821,0.22837,44,6.003,0.59772,NULL,NULL,Central and Eastern Europe,0.04361,0.30826,NULL,NULL,2015
Slovakia,2.24639,1.16891,1.26999,0.31751,0.16893,45,5.995,0.78902,NULL,NULL,Central and Eastern Europe,0.04267,0.03431,NULL,NULL,2015
Japan,1.68435,1.27074,1.25712,0.49615,0.10705,46,5.987,0.99111,NULL,NULL,Eastern Asia,0.03581,0.1806,NULL,NULL,2015
South Korea,2.21978,1.24461,0.95774,0.33208,0.18557,47,5.984,0.96538,NULL,NULL,Eastern Asia,0.04098,0.07857,NULL,NULL,2015
Ecuador,2.53942,0.86402,0.99903,0.48574,0.11541,48,5.975,0.79075,NULL,NULL,Latin America and Caribbean,0.04528,0.1809,NULL,NULL,2015
Bahrain,1.73797,1.32376,1.21624,0.45492,0.17362,49,5.96,0.74716,NULL,NULL,Middle East and Northern Africa,0.05412,0.306,NULL,NULL,2015
Italy,2.02518,1.25114,1.19777,0.26236,0.22823,50,5.948,0.95446,NULL,NULL,Western Europe,0.03914,0.02901,NULL,NULL,2015
Bolivia,2.82334,0.68133,0.97841,0.57414,0.20536,51,5.89,0.5392,NULL,NULL,Latin America and Caribbean,0.05642,0.088,NULL,NULL,2015
Moldova,3.10712,0.59448,1.01528,0.32818,0.20951,52,5.889,0.61826,NULL,NULL,Central and Eastern Europe,0.03799,0.01615,NULL,NULL,2015
Paraguay,2.18896,0.75985,1.30477,0.53899,0.3424,53,5.878,0.66098,NULL,NULL,Latin America and Caribbean,0.04563,0.08242,NULL,NULL,2015
Kazakhstan,2.24729,1.12254,1.12241,0.51649,0.11827,54,5.855,0.64368,NULL,NULL,Central and Eastern Europe,0.04114,0.08454,NULL,NULL,2015
Slovenia,1.61583,1.18498,1.27385,0.60855,0.25328,55,5.848,0.87337,NULL,NULL,Central and Eastern Europe,0.04251,0.03787,NULL,NULL,2015
Lithuania,2.44649,1.14723,1.25745,0.21342,0.02641,56,5.833,0.73128,NULL,NULL,Central and Eastern Europe,0.03843,0.01031,NULL,NULL,2015
Nicaragua,2.32407,0.59325,1.14184,0.55475,0.27815,57,5.828,0.74314,NULL,NULL,Latin America and Caribbean,0.05371,0.19317,NULL,NULL,2015
Peru,2.5945,0.90019,0.97459,0.41496,0.14982,58,5.824,0.73017,NULL,NULL,Latin America and Caribbean,0.04615,0.05989,NULL,NULL,2015
Belarus,2.1309,1.03192,1.23289,0.37938,0.11046,59,5.813,0.73608,NULL,NULL,Central and Eastern Europe,0.03938,0.1909,NULL,NULL,2015
Poland,1.86565,1.12555,1.27948,0.53122,0.16759,60,5.791,0.77903,NULL,NULL,Central and Eastern Europe,0.04263,0.04212,NULL,NULL,2015
Malaysia,1.88541,1.12486,1.07023,0.53024,0.33075,61,5.77,0.72394,NULL,NULL,Southeastern Asia,0.0433,0.10501,NULL,NULL,2015
Croatia,2.75414,1.08254,0.79624,0.25883,0.05444,62,5.759,0.78805,NULL,NULL,Central and Eastern Europe,0.04394,0.0243,NULL,NULL,2015
Libya,2.09066,1.13145,1.11862,0.41668,0.18295,63,5.754,0.7038,NULL,NULL,Middle East and Northern Africa,0.07832,0.11023,NULL,NULL,2015
Russia,2.27394,1.13764,1.23617,0.36679,0.00199,64,5.716,0.66926,NULL,NULL,Central and Eastern Europe,0.03135,0.03005,NULL,NULL,2015
Jamaica,2.32038,0.81038,1.15102,0.50442,0.2123,65,5.709,0.68741,NULL,NULL,Latin America and Caribbean,0.13693,0.02299,NULL,NULL,2015
North Cyprus,1.59888,1.20806,1.07008,0.49027,0.26169,66,5.695,0.92356,NULL,NULL,Western Europe,0.05635,0.1428,NULL,NULL,2015
Cyprus,1.88931,1.20813,0.89318,0.40672,0.30638,67,5.689,0.92356,NULL,NULL,Western Europe,0.0558,0.06146,NULL,NULL,2015
Algeria,2.43209,0.93929,1.07772,0.28579,0.07822,68,5.605,0.61766,NULL,NULL,Middle East and Northern Africa,0.05099,0.17383,NULL,NULL,2015
Kosovo,2.76579,0.80148,0.81198,0.24749,0.2831,69,5.589,0.63132,NULL,NULL,Central and Eastern Europe,0.05018,0.04741,NULL,NULL,2015
Turkmenistan,1.86984,0.95847,1.22668,0.4761,0.16979,70,5.548,0.53886,NULL,NULL,Central and Eastern Europe,0.04175,0.30844,NULL,NULL,2015
Mauritius,1.76145,1.00761,0.98521,0.56066,0.37744,71,5.477,0.7095,NULL,NULL,Sub-Saharan Africa,0.07197,0.07521,NULL,NULL,2015
Hong Kong,0.65429,1.38604,1.05818,0.59608,0.39478,72,5.474,1.01328,NULL,NULL,Eastern Asia,0.05051,0.37124,NULL,NULL,2015
Estonia,1.58782,1.15174,1.22791,0.44888,0.0868,73,5.429,0.77361,NULL,NULL,Central and Eastern Europe,0.04013,0.15184,NULL,NULL,2015
Indonesia,1.86399,0.82827,1.08708,0.46611,0.51535,74,5.399,0.63793,NULL,NULL,Southeastern Asia,0.02596,0,NULL,NULL,2015
Vietnam,2.20173,0.63216,0.91226,0.59444,0.1686,75,5.36,0.74676,NULL,NULL,Southeastern Asia,0.03107,0.10441,NULL,NULL,2015
Turkey,2.08528,1.06098,0.94632,0.22815,0.12253,76,5.332,0.73172,NULL,NULL,Middle East and Northern Africa,0.03864,0.15746,NULL,NULL,2015
Kyrgyzstan,2.2327,0.47428,1.15115,0.43477,0.3003,77,5.286,0.65088,NULL,NULL,Central and Eastern Europe,0.03823,0.04232,NULL,NULL,2015
Nigeria,2.89319,0.65435,0.90432,0.34334,0.27233,78,5.268,0.16007,NULL,NULL,Sub-Saharan Africa,0.04192,0.0403,NULL,NULL,2015
Bhutan,1.63794,0.77042,1.10395,0.53206,0.47998,79,5.253,0.57407,NULL,NULL,Southern Asia,0.03225,0.15445,NULL,NULL,2015
Azerbaijan,2.00073,1.02389,0.93793,0.3703,0.07799,80,5.212,0.64045,NULL,NULL,Central and Eastern Europe,0.03363,0.16065,NULL,NULL,2015
Pakistan,3.10709,0.59543,0.41411,0.12102,0.33671,81,5.194,0.51466,NULL,NULL,Southern Asia,0.03726,0.10464,NULL,NULL,2015
Jordan,1.87996,0.90198,1.05392,0.40661,0.11053,82,5.192,0.69639,NULL,NULL,Middle East and Northern Africa,0.04524,0.14293,NULL,NULL,2015
Montenegro,2.10017,0.97438,0.90557,0.1826,0.1614,82,5.192,0.72521,NULL,NULL,Central and Eastern Europe,0.05235,0.14296,NULL,NULL,2015
China,1.8604,0.89012,0.94675,0.51697,0.08185,84,5.14,0.81658,NULL,NULL,Eastern Asia,0.02424,0.02781,NULL,NULL,2015
Zambia,2.6343,0.47038,0.91612,0.48827,0.19591,85,5.129,0.29924,NULL,NULL,Sub-Saharan Africa,0.06988,0.12468,NULL,NULL,2015
Romania,1.93129,1.04345,0.88588,0.35068,0.13748,86,5.124,0.7689,NULL,NULL,Central and Eastern Europe,0.06607,0.00649,NULL,NULL,2015
Serbia,2.025,0.92053,1.00964,0.20107,0.19231,87,5.123,0.74836,NULL,NULL,Central and Eastern Europe,0.04864,0.02617,NULL,NULL,2015
Portugal,1.26462,1.15991,1.13935,0.51469,0.13719,88,5.102,0.87519,NULL,NULL,Western Europe,0.04802,0.01078,NULL,NULL,2015
Latvia,1.62215,1.11312,1.09562,0.29671,0.18226,89,5.098,0.72437,NULL,NULL,Central and Eastern Europe,0.0464,0.06332,NULL,NULL,2015
Philippines,1.7536,0.70532,1.03516,0.62545,0.24991,90,5.073,0.58114,NULL,NULL,Southeastern Asia,0.04934,0.12279,NULL,NULL,2015
Somaliland Region,2.11032,0.18847,0.95152,0.46582,0.50318,91,5.057,0.43873,NULL,NULL,Sub-Saharan Africa,0.06161,0.39928,NULL,NULL,2015
Morocco,2.45373,0.73479,0.64095,0.41691,0.07172,92,5.013,0.60954,NULL,NULL,Middle East and Northern Africa,0.0342,0.08546,NULL,NULL,2015
Macedonia,1.73933,0.91851,1.00232,0.33457,0.22359,93,5.007,0.73545,NULL,NULL,Central and Eastern Europe,0.05376,0.05327,NULL,NULL,2015
Mozambique,3.05137,0.08308,1.02626,0.34037,0.22269,94,4.971,0.09131,NULL,NULL,Sub-Saharan Africa,0.07896,0.15603,NULL,NULL,2015
Albania,1.89894,0.87867,0.80434,0.35733,0.14272,95,4.959,0.81325,NULL,NULL,Central and Eastern Europe,0.05013,0.06413,NULL,NULL,2015
Bosnia and Herzegovina,2.06367,0.83223,0.91916,0.09245,0.24808,96,4.949,0.79081,NULL,NULL,Central and Eastern Europe,0.06913,0.00227,NULL,NULL,2015
Lesotho,2.79832,0.37545,1.04103,0.31767,0.16388,97,4.898,0.07612,NULL,NULL,Sub-Saharan Africa,0.09438,0.12504,NULL,NULL,2015
Dominican Republic,1.21305,0.89537,1.17202,0.57672,0.21684,98,4.885,0.66825,NULL,NULL,Latin America and Caribbean,0.07446,0.14234,NULL,NULL,2015
Laos,1.73799,0.59066,0.73803,0.59591,0.42192,99,4.876,0.54909,NULL,NULL,Southeastern Asia,0.06698,0.24249,NULL,NULL,2015
Mongolia,1.34759,0.82819,1.3006,0.43626,0.3323,100,4.874,0.60268,NULL,NULL,Eastern Asia,0.03313,0.02666,NULL,NULL,2015
Swaziland,2.48676,0.71206,1.07284,0.30658,0.18259,101,4.867,0.07566,NULL,NULL,Sub-Saharan Africa,0.08742,0.0306,NULL,NULL,2015
Greece,1.80101,1.15406,0.92933,0.07699,0,102,4.857,0.88213,NULL,NULL,Western Europe,0.05062,0.01397,NULL,NULL,2015
Lebanon,1.57059,1.02564,0.80001,0.33916,0.21854,103,4.839,0.83947,NULL,NULL,Middle East and Northern Africa,0.04337,0.04582,NULL,NULL,2015
Hungary,1.24074,1.12094,1.20215,0.32112,0.128,104,4.8,0.75905,NULL,NULL,Central and Eastern Europe,0.06107,0.02758,NULL,NULL,2015
Honduras,1.84408,0.59532,0.95348,0.40148,0.23027,105,4.788,0.6951,NULL,NULL,Latin America and Caribbean,0.05648,0.06825,NULL,NULL,2015
Tajikistan,2.11399,0.39047,0.85563,0.47216,0.22974,106,4.786,0.57379,NULL,NULL,Central and Eastern Europe,0.03198,0.15072,NULL,NULL,2015
Tunisia,2.12466,0.88113,0.60429,0.26268,0.06431,107,4.739,0.73793,NULL,NULL,Middle East and Northern Africa,0.03589,0.06358,NULL,NULL,2015
Palestinian Territories,2.04384,0.59867,0.92558,0.24499,0.11251,108,4.715,0.66015,NULL,NULL,Middle East and Northern Africa,0.04394,0.12905,NULL,NULL,2015
Bangladesh,2.51767,0.39753,0.43106,0.4082,0.21222,109,4.694,0.60164,NULL,NULL,Southern Asia,0.03077,0.12569,NULL,NULL,2015
Iran,1.6944,1.0088,0.54447,0.30033,0.38086,110,4.686,0.69805,NULL,NULL,Middle East and Northern Africa,0.04449,0.05863,NULL,NULL,2015
Ukraine,1.5714,0.79907,1.20278,0.25123,0.15275,111,4.681,0.6739,NULL,NULL,Central and Eastern Europe,0.04412,0.02961,NULL,NULL,2015
Iraq,1.95335,0.98549,0.81889,0,0.17922,112,4.677,0.60237,NULL,NULL,Middle East and Northern Africa,0.05232,0.13788,NULL,NULL,2015
South Africa,1.71956,0.92049,1.18468,0.33207,0.11973,113,4.642,0.27688,NULL,NULL,Sub-Saharan Africa,0.04585,0.08884,NULL,NULL,2015
Ghana,2.30919,0.54558,0.67954,0.42342,0.23087,114,4.633,0.40132,NULL,NULL,Sub-Saharan Africa,0.04742,0.04355,NULL,NULL,2015
Zimbabwe,2.44191,0.271,1.03276,0.25861,0.18987,115,4.61,0.33475,NULL,NULL,Sub-Saharan Africa,0.0429,0.08079,NULL,NULL,2015
Liberia,2.77729,0.0712,0.78968,0.28531,0.24362,116,4.571,0.34201,NULL,NULL,Sub-Saharan Africa,0.11068,0.06232,NULL,NULL,2015
India,2.27513,0.64499,0.38174,0.39786,0.26475,117,4.565,0.51529,NULL,NULL,Southern Asia,0.02043,0.08492,NULL,NULL,2015
Sudan,2.20857,0.52107,1.01404,0.10081,0.19062,118,4.55,0.36878,NULL,NULL,Sub-Saharan Africa,0.0674,0.1466,NULL,NULL,2015
Haiti,2.24173,0.26673,0.74302,0.24425,0.46187,119,4.518,0.38847,NULL,NULL,Latin America and Caribbean,0.07331,0.17175,NULL,NULL,2015
Congo (Kinshasa),2.86712,0,1.0012,0.22605,0.24834,120,4.517,0.09806,NULL,NULL,Sub-Saharan Africa,0.0368,0.07625,NULL,NULL,2015
Nepal,1.95637,0.35997,0.86449,0.38282,0.32296,121,4.514,0.56874,NULL,NULL,Southern Asia,0.03607,0.05907,NULL,NULL,2015
Ethiopia,2.44876,0.19073,0.60406,0.4345,0.24325,122,4.512,0.44055,NULL,NULL,Sub-Saharan Africa,0.0378,0.15048,NULL,NULL,2015
Sierra Leone,2.51009,0.33024,0.95571,0.4084,0.21488,123,4.507,0,NULL,NULL,Sub-Saharan Africa,0.07068,0.08786,NULL,NULL,2015
Mauritania,2.11773,0.45407,0.86908,0.24232,0.219,124,4.436,0.35874,NULL,NULL,Sub-Saharan Africa,0.03947,0.17461,NULL,NULL,2015
Kenya,1.78555,0.36471,0.99876,0.42215,0.37542,125,4.419,0.41435,NULL,NULL,Sub-Saharan Africa,0.04734,0.05839,NULL,NULL,2015
Djibouti,2.05125,0.44025,0.59207,0.46074,0.18093,126,4.369,0.36291,NULL,NULL,Sub-Saharan Africa,0.08096,0.28105,NULL,NULL,2015
Armenia,1.75873,0.76821,0.77711,0.19847,0.07855,127,4.35,0.7299,NULL,NULL,Central and Eastern Europe,0.04763,0.039,NULL,NULL,2015
Botswana,1.46181,0.99355,1.10464,0.49495,0.10461,128,4.332,0.04776,NULL,NULL,Sub-Saharan Africa,0.04934,0.12474,NULL,NULL,2015
Myanmar,1.41805,0.27108,0.70905,0.44017,0.79588,129,4.307,0.48246,NULL,NULL,Southeastern Asia,0.04351,0.19034,NULL,NULL,2015
Georgia,1.59541,0.7419,0.38562,0.40577,0.05547,130,4.297,0.72926,NULL,NULL,Central and Eastern Europe,0.04221,0.38331,NULL,NULL,2015
Malawi,2.80791,0.01604,0.41134,0.43054,0.33128,131,4.292,0.22562,NULL,NULL,Sub-Saharan Africa,0.0613,0.06977,NULL,NULL,2015
Sri Lanka,0.67108,0.83524,1.01905,0.53726,0.40828,132,4.271,0.70806,NULL,NULL,Southern Asia,0.03751,0.09179,NULL,NULL,2015
Cameroon,1.95071,0.4225,0.88767,0.49309,0.20618,133,4.252,0.23402,NULL,NULL,Sub-Saharan Africa,0.04678,0.05786,NULL,NULL,2015
Bulgaria,0.89991,1.01216,1.10614,0.30587,0.11921,134,4.218,0.76649,NULL,NULL,Central and Eastern Europe,0.04828,0.00872,NULL,NULL,2015
Egypt,1.59927,0.8818,0.747,0.17288,0.11291,135,4.194,0.61712,NULL,NULL,Middle East and Northern Africa,0.0326,0.06324,NULL,NULL,2015
Yemen,1.92313,0.54649,0.68093,0.35571,0.09131,136,4.077,0.40064,NULL,NULL,Middle East and Northern Africa,0.04367,0.07854,NULL,NULL,2015
Angola,1.94939,0.75778,0.8604,0.10384,0.12344,137,4.033,0.16683,NULL,NULL,Sub-Saharan Africa,0.04758,0.07122,NULL,NULL,2015
Mali,1.79293,0.26074,1.03526,0.38857,0.18798,138,3.995,0.20583,NULL,NULL,Sub-Saharan Africa,0.05602,0.12352,NULL,NULL,2015
Congo (Brazzaville),1.68135,0.67866,0.6629,0.41466,0.12388,139,3.989,0.31051,NULL,NULL,Sub-Saharan Africa,0.06682,0.11686,NULL,NULL,2015
Comoros,1.95812,0.23906,0.79273,0.22917,0.17441,140,3.956,0.36315,NULL,NULL,Sub-Saharan Africa,0.04797,0.199,NULL,NULL,2015
Uganda,1.42766,0.21102,1.13299,0.45727,0.29066,141,3.931,0.33861,NULL,NULL,Sub-Saharan Africa,0.04317,0.07267,NULL,NULL,2015
Senegal,1.44395,0.36498,0.97619,0.36772,0.20843,142,3.904,0.4354,NULL,NULL,Sub-Saharan Africa,0.03608,0.10713,NULL,NULL,2015
Gabon,0.99895,1.06024,0.90528,0.31914,0.06822,143,3.896,0.43372,NULL,NULL,Sub-Saharan Africa,0.04547,0.11091,NULL,NULL,2015
Niger,1.87877,0.0694,0.77265,0.47692,0.19387,144,3.845,0.29707,NULL,NULL,Sub-Saharan Africa,0.03602,0.15639,NULL,NULL,2015
Cambodia,0.98195,0.46038,0.62736,0.66246,0.40359,145,3.819,0.61114,NULL,NULL,Southeastern Asia,0.05069,0.07247,NULL,NULL,2015
Tanzania,1.38079,0.2852,1.00268,0.32878,0.34377,146,3.781,0.38215,NULL,NULL,Sub-Saharan Africa,0.05061,0.05747,NULL,NULL,2015
Madagascar,1.851,0.20824,0.66801,0.19184,0.21333,147,3.681,0.46721,NULL,NULL,Sub-Saharan Africa,0.03633,0.08124,NULL,NULL,2015
Central African Republic,2.7223,0.0785,0,0.48879,0.23835,148,3.678,0.06699,NULL,NULL,Sub-Saharan Africa,0.06112,0.08289,NULL,NULL,2015
Chad,1.94296,0.34193,0.76062,0.23501,0.18386,149,3.667,0.1501,NULL,NULL,Sub-Saharan Africa,0.0383,0.05269,NULL,NULL,2015
Guinea,1.99172,0.17417,0.46475,0.37725,0.28657,150,3.656,0.24009,NULL,NULL,Sub-Saharan Africa,0.0359,0.12139,NULL,NULL,2015
Ivory Coast,1.41723,0.46534,0.77115,0.46866,0.20165,151,3.655,0.15185,NULL,NULL,Sub-Saharan Africa,0.05141,0.17922,NULL,NULL,2015
Burkina Faso,1.46494,0.25812,0.85188,0.39493,0.21747,152,3.587,0.27125,NULL,NULL,Sub-Saharan Africa,0.04324,0.12832,NULL,NULL,2015
Afghanistan,1.9521,0.31982,0.30285,0.23414,0.3651,153,3.575,0.30335,NULL,NULL,Southern Asia,0.03084,0.09719,NULL,NULL,2015
Rwanda,0.67042,0.22208,0.7737,0.59201,0.22628,154,3.465,0.42864,NULL,NULL,Sub-Saharan Africa,0.03464,0.55191,NULL,NULL,2015
Benin,1.63328,0.28665,0.35386,0.4845,0.1826,155,3.34,0.3191,NULL,NULL,Sub-Saharan Africa,0.03656,0.0801,NULL,NULL,2015
Syria,0.32858,0.6632,0.47489,0.15684,0.47179,156,3.006,0.72193,NULL,NULL,Middle East and Northern Africa,0.05015,0.18906,NULL,NULL,2015
Burundi,1.83302,0.0153,0.41587,0.1185,0.19727,157,2.905,0.22396,NULL,NULL,Sub-Saharan Africa,0.08658,0.10062,NULL,NULL,2015
Togo,1.56726,0.20868,0.13995,0.36453,0.16681,158,2.839,0.28443,NULL,NULL,Sub-Saharan Africa,0.06727,0.10731,NULL,NULL,2015
Denmark,2.73939,1.44178,1.16374,0.57941,0.36171,1,7.526,0.79504,7.46,NULL,Western Europe,NULL,0.44453,7.592,NULL,2016
Switzerland,2.69463,1.52733,1.14524,0.58557,0.28083,2,7.509,0.86303,7.428,NULL,Western Europe,NULL,0.41203,7.59,NULL,2016
Iceland,2.83137,1.42666,1.18326,0.56624,0.47678,3,7.501,0.86733,7.333,NULL,Western Europe,NULL,0.14975,7.669,NULL,2016
Norway,2.66465,1.57744,1.1269,0.59609,0.37895,4,7.498,0.79579,7.421,NULL,Western Europe,NULL,0.35776,7.575,NULL,2016
Finland,2.82596,1.40598,1.13464,0.57104,0.25492,5,7.413,0.81091,7.351,NULL,Western Europe,NULL,0.41004,7.475,NULL,2016
Canada,2.70485,1.44015,1.0961,0.5737,0.44834,6,7.404,0.8276,7.335,NULL,North America,NULL,0.31329,7.473,NULL,2016
Netherlands,2.70749,1.46468,1.02912,0.55211,0.47416,7,7.339,0.81231,7.284,NULL,Western Europe,NULL,0.29927,7.394,NULL,2016
New Zealand,2.47553,1.36066,1.17278,0.58147,0.49401,8,7.334,0.83096,7.264,NULL,Australia and New Zealand,NULL,0.41904,7.404,NULL,2016
Australia,2.5465,1.44443,1.10476,0.56837,0.47407,9,7.313,0.8512,7.241,NULL,Australia and New Zealand,NULL,0.32331,7.385,NULL,2016
Sweden,2.54734,1.45181,1.08764,0.58218,0.38254,10,7.291,0.83121,7.227,NULL,Western Europe,NULL,0.40867,7.355,NULL,2016
Israel,3.31029,1.33766,0.99537,0.36432,0.32288,11,7.267,0.84917,7.199,NULL,Middle East and Northern Africa,NULL,0.08728,7.335,NULL,2016
Austria,2.69343,1.45038,1.08383,0.54355,0.32865,12,7.119,0.80565,7.045,NULL,Western Europe,NULL,0.21348,7.193,NULL,2016
United States,2.72782,1.50796,1.04782,0.48163,0.41077,13,7.104,0.779,7.02,NULL,North America,NULL,0.14868,7.188,NULL,2016
Costa Rica,3.35168,1.06879,1.02152,0.55225,0.22553,14,7.087,0.76146,6.999,NULL,Latin America and Caribbean,NULL,0.10547,7.175,NULL,2016
